"fecha_oficia"|"aduana"|"aduana_desc"|"mercaderia"|"mercaderia_desc"|"cantidad"|"kilos"|"importe"
20140117|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|20|661721.4|1755148.19
20140213|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|40|901834|2908023.6
20140210|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|33|801681.99|1692355.09
20140328|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|70|2237279.51|3976848.51
20140108|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|52|1165802.99|2876604.18
20140103|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|44|1054010.08|2432059.41
20140131|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|50|1213431.32|5482061.03
20140523|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|62|2691349|4289126.26
20140410|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|56|3177117.77|5410549.24
20140507|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|59|1684520.14|3234574.73
20140530|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|41|2460769.26|3377928.2
20140723|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|35|1846961.64|3010886.51
20140614|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|13|307795|524302.7
20140820|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|75|2669732.56|4531156.81
20140729|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|60|1690960.13|3327606.06
20141229|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|38|1001025.44|5230869.48
20141204|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|71|1378783.72|3538524.17
20140627|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|16|404850.32|700128.7
20140707|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|65|1661381.18|2993096.91
20141228|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|13|158711.5|330494.53
20140726|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|5|113485|192994.8
20141203|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|65|1407262.74|5239678.69
20140702|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|76|3871269.7|6785570.82
20140908|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|52|1489859.8|2604232.96
20140724|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|54|1377802.34|2832937.51
20140722|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|66|1442181.58|4582641.81
20141220|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|9|258166.4|933232.34
20140912|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|59|1398433.89|3752898.38
20140925|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|44|1079148.04|3057000.97
20141121|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|62|1586103.5|6344731.43
20140824|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|6|81516.9|185350.38
20141218|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|40|983759|2331204.86
20141113|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|46|1315600.5|3843866.86
20141126|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|70|1725280.98|3706109.28
20141030|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|62|1241489.9|2754004.39
20140819|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|74|1816177.08|3247246.63
20140417|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|14|372702.2|741315.42
20140424|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|70|1818500.1|3682354.64
20140415|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|54|1417731.14|4613588.87
20140611|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|51|2004243.95|3350057.15
20140527|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|72|4617349.1|10010401.92
20140625|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|87|2783022.04|4423154.38
20140521|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|114|3941346.02|8384069.7
20140307|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|70|2614975.65|7193254.55
20140313|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|43|1724402|4113479.33
20140605|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|77|2144522.22|4890550.29
20140212|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|47|1118633|2450494.96
20140130|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|51|1434223.2|3569907.58
20140829|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|41|900143.08|1996191.83
20140909|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|67|1897243.54|4466832
20141018|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|5|167748.05|491986.61
20141205|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|42|1018849.13|4011309.28
20140419|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|6|133242.2|187061.26
20140814|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|62|1838454.88|3693618.16
20140806|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|63|1549605.96|3147215.95
20141028|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|45|1402625.72|3940071.92
20141115|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|8|114689.04|258815.69
20140517|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|5|270898.56|494220.1
20140911|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|65|1262590.65|3187450.21
20140616|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|36|1591497.1|3203339.07
20140808|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|44|1006103.27|2238466.45
20141217|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|61|1444867.94|3099309.54
20141027|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|45|1036206.36|3247399.27
20140619|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|65|2043881.67|3575747.04
20141231|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|6|45536.5|133877.51
